field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24
KEN-TRK-003,KEN-TRK-003,Turkana,Turkana South Sub-County,1/1/2004,12/31/2024,"Turkana South Sub-County is a major conflict hotspot in the Turkana-Pokot resource conflict, with frequent cattle raids and killings over water and pasture access.",Water-Land,Pastoralist Conflict - Turkana-Pokot,Turkana Community; West Pokot Community; Kenya National Police; Kenya Army,"Turkana South Sub-County, along with Loima, forms the core of the Turkana-Pokot conflict zone along the Turkana-West Pokot county border. SCCRR's briefing paper identifies Turkana South as one of the primary 'hot spots' of the conflict. The borderline ho",ACCORD; SCCRR; Nation Media,https://www.accord.org.za/ajcr-issues/pastoral-conflict-in-kenya/,Academic; NGO; News,1.8333,35.5833,150+,8000+,Active Security Deployment,Ongoing,"Turkana South, Pokot, pastoralist, water conflict, pasture, cattle raid, ACCORD, security forces",Yes,0.88,ACCORD and SCCRR cited directly.
KEN-TRK-007,KEN-TRK-007,Turkana,Turkana North - Lake Turkana Shore,1/1/2004,12/31/2024,Turkana fishing communities at Lake Turkana's shores faced competition and violent confrontations with Ethiopian tribes following the lake's retreat and resulting overlap of fishing territories.,Water-Land,Fish Resource Conflict - Cross-Community,Turkana Fishing Communities; Dassanech (Ethiopia); Nyangatom (Ethiopia); Mursi (Ethiopia); Kenya Fisheries Department,"Lake Turkana, Kenya's largest lake, is a critical resource for Turkana fishing communities. The lake has steadily shrunk over 40 years due to increased evaporation from higher temperatures and reduced Omo River flow caused by Ethiopian dam projects (nota",Yale Environment 360; Wikipedia; UNHCR,https://e360.yale.edu/features/when_the_water_ends_africas_climate_conflicts,Academic; News; International Organization,3.5167,36.0167,50+,3000+,Active - Cross-Border Security Issue,Ongoing,"Lake Turkana, fishing, Dassanech, Nyangatom, cross-border, Omo River, dam, climate change, fish resource",Yes,0.88,Multiple authoritative academic and international sources.
KEN-TRK-014,KEN-TRK-014,Turkana,Turkana North - Ileret Area,1/1/2009,12/31/2020,Turkana herders in Ileret area repeatedly clashed with Daasanach from Ethiopia over scarce water points and grazing areas near the Kenya-Ethiopia border.,Water-Land,Cross-Border Pasture-Water Conflict - Daasanach,Turkana Herders; Daasanach Community; Ethiopian Bandits; Kenya-Ethiopia Border Police,The Ileret area in Turkana North on the Kenya-Ethiopia border near Lake Turkana has been the site of repeated cross-border conflicts. The Frontiers Environmental Science paper (2022) documented a specific incident: Ethiopian bandits attacked the border v,Frontiers Environmental Science; Wikipedia; Daily Nation,https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2022.863903/full,Academic; News,4.4167,36.2,25+,500+,Active - Cross-Border Security,Ongoing,"Ileret, Daasanach, Turkana North, cross-border, water point, Ethiopia-Kenya, cattle raid, ambush",Yes,0.87,Frontiers paper directly cited.
KEN-MCK-019,KEN-MCK-019,Machakos,Masinga Dam Catchment,1/1/2008,12/31/2024,"Communities settled in the Masinga Dam catchment area in Machakos County's northern sector reduced catchment integrity through farming, deforestation, and borehole drilling, creating conflicts with KenGen over water supply for the dam.",Water-Land,Dam Catchment Settlement Conflict,Masinga Dam Catchment Communities; KenGen; WRMA; Machakos County Government,"Masinga Dam, the largest dam in East and Central Africa, stores water in a reservoir spanning parts of Machakos and Meru counties. The dam is managed by KenGen for hydroelectric power generation. Communities that settled in the dam's catchment area over",KenGen; WRMA; NLC; Nation Media; Machakos County,https://kenyalaw.org,Government; Regulatory; Court,-1.05,37.75,0,Unknown,Administrative - Catchment Management Negotiations,Ongoing,"Masinga Dam, catchment, KenGen, siltation, community land, Machakos, hydroelectric, WRMA, NLC",Yes,0.8,Referenced in KenGen and WRMA catchment management documentation.
KEN-TRK-023,KEN-TRK-023,Turkana,Turkana Basin - Lake Turkana Wind Power,1/1/2011,12/31/2024,"Africa's largest wind farm on the shores of Lake Turkana required acquisition of 162,000 acres of land in the Marsabit-Turkana border area, displacing pastoralists who had used the land for centuries.",Water-Land,Wind Farm - Pastoralist Land Conflict,Lake Turkana Wind Power Consortium; Turkana Pastoralists; NLC; Marsabit and Turkana Counties,"The Lake Turkana Wind Power (LTWP) project, the largest wind power project in Africa with 365 turbines and 310 MW capacity, was developed on the Loiyangalani plateau near Lake Turkana. The project required land acquisition of approximately 162,000 acres",NLC; Nation Media; Business Daily Africa; Academic Literature,https://nlc.go.ke,Regulatory; Government; Print/Online News,2.75,36.9167,2,5000+,Active Compensation Dispute,Partially Resolved,"LTWP, Lake Turkana Wind Power, pastoralist displacement, land acquisition, Loiyangalani, NLC, grazing",Yes,0.85,NLC and media sources directly cited.
KEN-KBU-019,KEN-KBU-019,Kiambu,Kiambu County - Ndakaini Dam Catchment,1/1/2010,12/31/2024,"Ndakaini Dam (Thika Dam), the main water reservoir for Nairobi, has faced encroachment and catchment degradation from farming communities, creating conflicts between NCWSC and communities over land use restrictions.",Water-Land,Dam Catchment Land Use Conflict,Nairobi City Water and Sewerage Company; Ndakaini Catchment Communities; Murang'a County; WRMA,"Ndakaini Dam (also known as Thika Dam) in Murang'a County (bordering Kiambu) is the main water reservoir supplying Nairobi with approximately 80% of its treated water supply. Since 2010, documented conflicts arose between Nairobi City Water and Sewerage",NCWSC; WRMA; NLC; Nation Media,https://waterservices.go.ke,Government; Regulatory; Print/Online News,-0.8333,36.8,0,Unknown,Active - Buffer Zone Negotiation,Ongoing,"Ndakaini Dam, Thika Dam, catchment, NCWSC, Nairobi water supply, siltation, farming, buffer zone",Yes,0.85,Multiple government sources cited. Critical Nairobi water security issue.
KEN-TRK-025,KEN-TRK-025,Turkana,Turkana County - Gibe III Dam Impact,1/1/2010,12/31/2024,"Ethiopia's Gibe III Dam on the Omo River reduced water flows into Lake Turkana by up to 70%, dramatically affecting Turkana fishing and pastoral communities' water access and livelihoods.",Water-Land,Gibe III Dam - Downstream Rights Violation,Turkana Fishing Communities; Ethiopian Government; Kenyan Government; UNHCR; International Rivers NGO,"Ethiopia's Gibe III hydroelectric dam, completed in 2015, dramatically altered the flow regime of the Omo River, which provides 90% of Lake Turkana's inflow. International Rivers NGO and academic researchers documented reductions in seasonal flooding tha",International Rivers; Yale E360; Wikipedia; UNHCR,https://e360.yale.edu/features/when_the_water_ends_africas_climate_conflicts,Academic; News; NGO; International Organization,4.6583,35.9833,0,30000+,Active - Transboundary Diplomatic Issue,Ongoing,"Gibe III, Omo River, Lake Turkana, fishing, Ethiopian dam, transboundary water rights, downstream impact",Yes,0.9,Multiple authoritative sources directly cited. High confidence.
KEN-KBU-023,KEN-KBU-023,Kiambu,Thika - Maragua River,1/1/2013,12/31/2022,"Smallholder farmers in the Thika-Maragua border zone competed with urban Thika for water abstraction rights from the Maragua River, a tributary of the Tana River, during dry seasons.",Water-Land,River Water Abstraction Conflict,Maragua River Smallholder Irrigation Farmers; Murang'a County; Thika Municipality; WRMA,The Maragua River flows from the Aberdare Range through Murang'a County into the Tana River. Its lower reaches near Thika provide water for both Thika town's municipal supply and smallholder irrigation schemes in the Thika-Maragua corridor in Kiambu Coun,WRMA; Nation Media; Tana Water Services Board,https://wrma.go.ke,Regulatory; Government,-0.9,37.1,0,0,WRMA Mediation - Water Allocation Orders,Partially Resolved,"Maragua River, Thika, water abstraction, smallholder, municipal supply, WRMA, Tana River, dry season",Yes,0.76,Referenced in WRMA Tana Basin records.
KEN-MCK-025,KEN-MCK-025,Machakos,Makueni Border - Nol Turesh Pipeline,1/1/2017,12/31/2024,"The Nol Turesh pipeline, drawing water from Mt. Kilimanjaro in Kajiado County, serves Machakos and Makueni counties. Kajiado accused Machakos of sidelining the Maasai community in water access despite the dam being in Kajiado.",Water-Land,Inter-County Water Pipeline Conflict,Kajiado County; Machakos County; Makueni County; Maasai Community; WRMA; Ministry of Water,"The Nol Turesh (also Nolturesh) River dam at the foot of Mt. Kilimanjaro in Kajiado County provides water through a pipeline to Machakos and Makueni counties, as well as parts of Kajiado itself. Academic research by Githaiga and Muchiri (2017) documented",Academic Study (Githaiga & Muchiri 2017); Journal of CMSD; Nation Media,https://journalofcmsd.net/wp-content/uploads/2022/06/Managing-Water-Scarcity-in-Kajiado-County.pdf,Academic; Print/Online News,-1.4443,36.9616,0,0,Administrative - WRMA Inter-County Arbitration,Ongoing,"Nol Turesh, Kajiado, Machakos, Makueni, Maasai, inter-county, water pipeline, Mt Kilimanjaro, vandalism, WRMA",Yes,0.87,Academic study directly cited.
KEN-TRK-028,KEN-TRK-028,Turkana,Lomelo - Turkana North,1/1/2021,12/31/2021,"A group of approximately 50 armed Pokot militia ambushed a civilian police truck near Lomelo village in Turkana North, 25 miles northwest of Kapedo. A 13-year-old boy was among those on the truck.",Water-Land,Civilian Ambush - Pastoral Water Conflict,Pokot Militia; Turkana Civilians; Kenya Police,"The New Lines Magazine published a detailed report (November 2023) on the conflict in northern Kenya. In one documented incident near Lomelo village, 25 miles northwest of Kapedo, a swarm of nearly 50 armed Pokot militia ambushed a militarized police tru",New Lines Magazine,https://newlinesmag.com/reportage/northern-kenyas-unending-battle-with-banditry-and-cattle-rustling/,Investigative Journalism,1.3,36.0833,Unknown,Unknown,Criminal Investigation - Police,Unresolved,"Lomelo, Pokot militia, ambush, Turkana North, civilian truck, armed attack, 50 militia, 13-year-old",Yes,0.88,New Lines Magazine directly cited.
