SN,Record_ID,County,Sub_Location,Date_Start,Date_End,Incident_Summary,Full_Text_Description,Source_Name,Source_URL,Data_Source_Type,Notes
1,KEN-TRK-003,Turkana,Turkana South Sub-County,1/1/2004,12/31/2024,"Turkana South Sub-County is a major conflict hotspot in the Turkana-Pokot resource conflict, with frequent cattle raids and killings over water and pasture access.","Turkana South Sub-County, along with Loima, forms the core of the Turkana-Pokot conflict zone along the Turkana-West Pokot county border. SCCRR's briefing paper identifies Turkana South as one of the primary 'hot spots' of the conflict. The borderline ho",ACCORD; SCCRR; Nation Media,https://www.accord.org.za/ajcr-issues/pastoral-conflict-in-kenya/,Academic; NGO; News,ACCORD and SCCRR cited directly.
2,KEN-TRK-132,Turkana,Turkana - Rainy Season Paradox - Raids Increase with Rain,1/1/2004,12/31/2024,"ACCORD's review of pastoral conflict research documented the counter-intuitive finding: quantitative analysis suggests violent raids actually increase during rainy seasons, not drought, as actors compete over newly discovered water points and aquifers -�",ACCORD's review 'Pastoral conflict in Kenya' cited Witsenburg and Adano (2009): 'Data over time indicate that the frequency of raids and their level of violence increase with rainy seasons and recede with drought-like conditions (Witsenburg and Adano 200,ACCORD; Witsenburg and Adano (2009); Adano et al. (2012); Shalom-SCCRR,https://www.accord.org.za/ajcr-issues/pastoral-conflict-in-kenya/,Academic; NGO,ACCORD directly cited. Multi-source academic consensus confirmed.
3,KEN-NBI-243,Nairobi,Nairobi - ACLED Q1 2023 - 77% Rise in Pastoralist Militia Events vs Q4 2022,1/1/2023,3/24/2023,ACLED's March 2023 situation report documented 69 political violence events involving pastoralist militias from 1 January to 24 March 2023 -” a 77% increase compared to the period from 10 October to 31 December 2022. This escalation directly triggered,"ACLED's March 2023 Kenya situation update documented: 'ACLED records 69 political violence events involving pastoralist militias from 1 January to 24 March 2023, a 77% increase compared to the period from 10 October to 31 December 2022.' This Q1 2023 esc",ACLED,https://acleddata.com/update/kenya-situation-update-march-2023-government-operation-against-pastoralist-militias-north,Conflict Data,ACLED directly cited. Statistics confirmed.
4,KEN-NBI-197,Nairobi,Nairobi - Housing Deficit - 8.88 Million Unit Gap 2024,1/1/2024,12/31/2024,"The ACRC (2024) documented that Kenya has a national housing deficit of more than 8,888,626 units, making it structurally impossible for the government to house informal settlement residents displaced by riparian enforcement -” an acknowledged conflict","The African Cities Research Consortium (ACRC, 2024) documented that 'the government is also aware of the current national housing deficit of more than 8,888,626 units. This contributes to the expansion of informal settlements. Armed with this knowledge,",ACRC,https://www.african-cities.org/do-flood-evictions-in-nairobis-informal-settlements-violate-the-law/,Academic; NGO,ACRC directly cited. Housing deficit figure confirmed.
5,KEN-NBI-198,Nairobi,Nairobi - 2013-2018 - Eviction Legal Framework Gap,1/15/2013,12/31/2018,"Between the 2013 High Court order requiring the state to develop eviction legal frameworks and the 2018 Supreme Court affirmation that UN Guidelines apply as soft law, the government failed for five years to develop the required framework, leaving inform",The ACRC (2024) documented the five-year governance failure: the 2013 High Court ruling required the state to develop legal frameworks for evictions; the government failed to act; and in 2018 the Supreme Court filled the gap by affirming UN Guidelines as,ACRC; KHRC; Supreme Court,https://www.african-cities.org/do-flood-evictions-in-nairobis-informal-settlements-violate-the-law/,Academic; NGO; Court Record,ACRC directly cited.
6,KEN-NBI-192,Nairobi,Nairobi - 2013 High Court Eviction Framework Ruling,1/15/2013,12/31/2018,"A 2013 High Court ruling determined that the State was required to develop appropriate legal frameworks for evictions. The government failed to do so. In 2018, the Supreme Court affirmed that in the absence of such guidelines, the UN Guidelines on evicti","The African Cities Research Consortium (ACRC, 2024) documented that 'as determined by a high court case in 2013, the state was to develop appropriate legal frameworks for evictions. The Kenyan government failed to do this, leading to a 2018 ruling by the",ACRC; Supreme Court; High Court,https://www.african-cities.org/do-flood-evictions-in-nairobis-informal-settlements-violate-the-law/,Academic; Court Record,ACRC directly cited. 2013 and 2018 court rulings confirmed.
7,KEN-TRK-015,Turkana,Turkana Basin - Entire County,1/1/2004,12/31/2024,"Systemic climate-driven land and water resource conflict across Turkana County linked to prolonged droughts, failed rains, and diminishing water availability over the 20-year period 2004-2024.","The Eastern African Journal of Humanities and Social Sciences (2023) documented that the semi-arid and arid regions of the Kenyan borders, particularly the Lake Turkana Basin, have experienced perennial conflicts between ethnic groups revolving around sc",AJOL; Frontiers Environmental Science; NCBI; FairPlanet,https://www.ajol.info/index.php/eajhss/article/view/261045,Academic; News,Multiple academic peer-reviewed sources directly cited.
8,KEN-MCK-181,Machakos,Machakos - Yatta Canal - Government Intervention - Water Allocation Favours Landowners,1/1/2004,12/31/2025,"Academic study on Yatta Canal documented that water allocation 'favours landowners' and 'stakeholders are not fully involved in planning, management and development' -” creating documented structural inequity that drives conflict between upstream irrig","Academia.edu documented: 'It was established that the current water demand outstrips supply and that there is inefficient water use especially for irrigation. Water allocation process favours landowners, and stakeholders are not fully involved in plannin",Academia.edu,https://www.academia.edu/123136778/PROJECT_FOCUS_YATTA_CANAL_REHABILITATION_PROJECT_MACHAKOS_KENYA,Academic,Academia.edu directly cited.
9,KEN-MCK-180,Machakos,Yatta Canal - Machakos - Upstream Downstream Conflict - Seasonal Water Shortage,1/1/2004,12/31/2025,"An academic study on the Yatta Canal Rehabilitation Project (Machakos County) documented that 'over the years, the water supply has been unreliable especially during dry season leading to conflicts between upstream and downstream consumers. Sometimes the","Academia.edu documented 'Project Focus: Yatta Canal Rehabilitation Project, Machakos Kenya': 'Yatta Canal is situated in Yatta division, Machakos district about 100 km from Nairobi along Thika-Garissa road. It is about 60 Km long and supplies water for d",Academia.edu; Machakos County,https://www.academia.edu/123136778/PROJECT_FOCUS_YATTA_CANAL_REHABILITATION_PROJECT_MACHAKOS_KENYA,Academic,Academia.edu directly cited.
10,KEN-TRK-234,Turkana,Turkana - Schilling et al 2012 - 650 Deaths 2006-2009 - 150 in 2006 110 in 2007 115 in 2008 275 in 2009 - Raid Death Rate,1/1/2006,12/31/2009,"Schilling et al (2012) documented: 650 human deaths from Turkana-Pokot raids 2006-2009 -” 150 deaths in 2006, 110 in 2007, 115 in 2008, 275 in 2009 -” an average of 2.13 deaths per raid. This academic quantification fills the Turkana 2006/2007/2008 s","Academia.edu (Schilling et al 2012/2014 data) documented: 'There has been around 650 human deaths in the same period (150 in 2006, 110 in 2007, 115 in 2008, 275 in 2009). This means that there has been around 2.13 human deaths per raid in this period. A",Academia.edu; Schilling et al,https://www.academia.edu/23488540/Conflicts_in_the_pastoral_Turkana_area,Academic,Academia.edu (Schilling et al 2012) directly cited.
