S/No.,WRUA_NAME,SRO,Area,status,Basin (B),B_code,Areakm2,CentroidX,CentroidY,Subbasin
1,Nzetu,TIVA/TYAA,195.147995,Not Formed,TCA,20,195.27,38.218532,-0.344713,4FB
2,Lower Tyaa,TIVA/TYAA,371.8169861,Formed,TCA,20,372.01,38.024682,-0.789248,4ED
3,Mathauta,TIVA/TYAA,327.0039978,Formed,TCA,20,327.06,37.580893,-1.056914,4DE
4,Kalikuvu,TIVA/TYAA,1317.469971,Not Formed,TCA,20,1318.49,38.783968,-1.446411,4GC
5,Tsavo East National Park,TIVA/TYAA,1830.040039,Not Formed,TCA,20,1831.37,38.54005,-2.330891,4HB
6,Lagha Kokani,TIVA/TYAA,6367.390137,Not Formed,TCA,20,6372.35,38.97731,-2.112078,4HB
7,Kawala,TIVA/TYAA,6586.189941,Not Formed,TCA,20,6591.27,38.997705,-2.701318,4HC
8,Kauwi,TIVA/TYAA,140.7879944,Formed,TCA,20,140.85,37.944103,-1.243807,4HA
9,Upper Mikuyuni,TIVA/TYAA,137.3809967,Formed,TCA,20,137.43,37.797094,-1.285815,4HA
10,Matinga Ndiliu,TIVA/TYAA,311.302002,Formed,TCA,20,311.48,38.122615,-2.161066,4HA
11,Upper Mwitasyano,TIVA/TYAA,289.9450073,Not Formed,TCA,20,290.02,37.674234,-1.176827,4HA
12,Kamutu,TIVA/TYAA,243.9839935,Formed,TCA,20,244.04,37.627517,-0.931811,4DE
13,Ekalakala,TIVA/TYAA,254.8220062,Formed,TCA,20,254.85,37.476207,-1.045862,4CC
14,Kitimui,TIVA/TYAA,156.4559937,Formed,TCA,20,156.53,37.966554,-1.28462,4HA
15,Mukengesya,TIVA/TYAA,172.8090057,Formed,TCA,20,172.87,37.775812,-1.014174,4ED
16,Kamunyuni,TIVA/TYAA,168.4550018,Not Formed,TCA,20,168.56,38.21582,-1.771181,4GC
17,Upper Tiva,TIVA/TYAA,150.0890045,Not Formed,TCA,20,150.15,37.887207,-1.422192,4HA
18,Upper Thua,TIVA/TYAA,263.1300049,Formed,TCA,20,263.27,38.097454,-1.248491,4GC
19,Upper Ikoo,TIVA/TYAA,175.7949982,Formed,TCA,20,175.89,38.137686,-1.147557,4GC
20,Nzeeu,TIVA/TYAA,143.4380035,Formed,TCA,20,143.51,38.018233,-1.45737,4HA
21,Ikanga,TIVA/TYAA,170.8730011,Formed,TCA,20,170.96,38.073144,-1.618814,4HA
22,Mumaki,TIVA/TYAA,302.7279968,Formed,TCA,20,302.85,37.847289,-1.134551,4ED
23,Middle Mwitasyano,TIVA/TYAA,237.6369934,Formed,TCA,20,237.71,37.716338,-1.329201,4HA
24,Mwanzitumo,TIVA/TYAA,93.52400208,Not Formed,TCA,20,93.56,37.853641,-1.27284,4HA
25,Mui,TIVA/TYAA,342.3139954,Not Formed,TCA,20,342.52,38.193915,-1.07356,4GC
26,Lower Ikoo,TIVA/TYAA,386.1530151,Not Formed,TCA,20,386.39,38.237436,-1.337275,4GC
27,Iuuma,TIVA/TYAA,325.3389893,Formed,TCA,20,325.44,37.749455,-0.921697,4ED
28,Kithyoko,TIVA/TYAA,134.5350037,Not Formed,TCA,20,134.59,37.853046,-0.94564,4ED
29,Kisio,TIVA/TYAA,148.7769928,Not Formed,TCA,20,148.86,38.126507,-1.499418,4GC
30,Kiongwe,TIVA/TYAA,109.7149963,Formed,TCA,20,109.78,38.108193,-1.381404,4GC
31,Mwiwe,TIVA/TYAA,93.43299866,Formed,TCA,20,93.48,38.04888,-1.515412,4HA
32,Kalundu,TIVA/TYAA,158.2779999,Formed,TCA,20,158.35,37.964268,-1.428106,4HA
33,Lower MwitaSyano,TIVA/TYAA,209.826004,Formed,TCA,20,209.9,37.78794,-1.46627,4HA
34,Ilika Tiva,TIVA/TYAA,107.4140015,Not Formed,TCA,20,107.46,37.863266,-1.566642,4HA
35,Kanumu,TIVA/TYAA,232.7440033,Not Formed,TCA,20,232.91,38.415406,-0.224181,4GA
36,Karura,TIVA/TYAA,110.4059982,Not Formed,TCA,20,110.46,37.952937,-0.838069,4ED
37,Katse,TIVA/TYAA,210.8880005,Not Formed,TCA,20,211,38.05373,-0.522164,4FB
38,Koma,TIVA/TYAA,155.9559937,Not Formed,TCA,20,156.03,37.984685,-1.594032,4HA
39,Machungwa,TIVA/TYAA,571.9819946,Not Formed,TCA,20,572.39,38.458404,-0.255715,4GA
40,Manguva,TIVA/TYAA,101.0579987,Formed,TCA,20,101.1,37.937645,-1.096489,4ED
41,Masaa,TIVA/TYAA,247.1900024,Not Formed,TCA,20,247.31,37.987379,-0.634547,4ED
42,Mataka,TIVA/TYAA,280.7770081,Not Formed,TCA,20,280.94,38.185763,-0.436881,4FB
43,Monune,TIVA/TYAA,255.3569946,Not Formed,TCA,20,255.55,38.582649,-0.207908,4GA
44,Kora Muthongi,TIVA/TYAA,178.4420013,Not Formed,TCA,20,178.58,38.695081,-0.130537,4GA
45,Mukangoni Kinango,TIVA/TYAA,349.6740112,Not Formed,TCA,20,349.91,38.34301,-0.226354,4FB
46,Mid Tiva,TIVA/TYAA,226.0379944,Formed,TCA,20,226.14,37.921398,-1.658273,4HA
47,Lower Nzeeu,TIVA/TYAA,199.6430054,Not Formed,TCA,20,199.75,38.091752,-1.778379,4HA
48,Lower Tiva,TIVA/TYAA,260.2780151,Not Formed,TCA,20,260.41,38.002763,-1.8291,4HA
49,Mutwangi,TIVA/TYAA,151.3059998,Not Formed,TCA,20,151.4,38.263822,-0.18474,4FB
50,Nzanzeni,TIVA/TYAA,114.2839966,Not Formed,TCA,20,114.35,38.212009,-0.218367,4FB
51,Nzuli,TIVA/TYAA,358.178009,Not Formed,TCA,20,358.34,37.938848,-0.95424,4ED
52,Upper Tyaa,TIVA/TYAA,152.9029999,Formed,TCA,20,152.98,38.047069,-1.013176,4ED
53,Kanziko Kyoni,TIVA/TYAA,159.4029999,Not Formed,TCA,20,159.48,38.04349,-1.967781,4HA
54,Tiva Kimuru,TIVA/TYAA,189.0379944,Not Formed,TCA,20,189.15,38.175501,-2.074969,4HA
55,Kawala Muungua,TIVA/TYAA,219.5310059,Not Formed,TCA,20,219.67,38.262526,-2.211931,4HA
56,Mutindi,TIVA/TYAA,859.5339966,Not Formed,TCA,20,860.11,38.357123,-2.036134,4HB
57,Upper Enziu,TIVA/TYAA,359.696991,Formed,TCA,20,359.91,38.164623,-0.786044,4GE
58,Ndilo Isio,TIVA/TYAA,292.446991,Not Formed,TCA,20,292.64,38.319935,-0.765812,4GE
59,Katiliku,TIVA/TYAA,335.5429993,Not Formed,TCA,20,335.74,38.18335,-0.933806,4GE
60,Lower Ndilo,TIVA/TYAA,373.1679993,Not Formed,TCA,20,373.42,38.36031,-0.939688,4GE
61,Middle Enziu,TIVA/TYAA,360.9859924,Formed,TCA,20,361.24,38.451093,-1.049514,4GE
62,Kakame Kayene,TIVA/TYAA,397.1719971,Not Formed,TCA,20,397.44,38.398768,-1.336153,4GE
63,Makuka,TIVA/TYAA,294.5150146,Not Formed,TCA,20,294.72,38.428041,-1.157472,4GE
64,Kololo ILmukuyu,TIVA/TYAA,126.8519974,Not Formed,TCA,20,126.94,38.434541,-1.262286,4GE
65,Katothya,TIVA/TYAA,272.269989,Not Formed,TCA,20,272.47,38.535466,-1.208996,4GE
66,Ilika Ngovu,TIVA/TYAA,263.0339966,Not Formed,TCA,20,263.24,38.767118,-1.202021,4GE
67,Waldena,TIVA/TYAA,1234.709961,Not Formed,TCA,20,1235.68,39.140333,-1.807867,4GC
68,kalikuvu Mutha,TIVA/TYAA,520.0159912,Not Formed,TCA,20,520.4,38.589542,-1.774004,4GC
69,Upper Mathima,TIVA/TYAA,176.4570007,Not Formed,TCA,20,176.57,38.334721,-1.801416,4GC
70,Ngunga Kaliluni,TIVA/TYAA,189.9669952,Not Formed,TCA,20,190.08,38.201069,-1.666723,4GC
71,Ngungi,TIVA/TYAA,159.2230072,Not Formed,TCA,20,159.32,38.230227,-1.481223,4GC
72,Maveti,TIVA/TYAA,205.951004,Not Formed,TCA,20,206.08,38.24787,-1.593619,4GC
73,Mwinga,TIVA/TYAA,321.5320129,Not Formed,TCA,20,321.75,38.353655,-1.571122,4GC
74,Lower Mathima,TIVA/TYAA,142.9640045,Not Formed,TCA,20,143.06,38.413261,-1.717354,4GC
75,Lower Thua,TIVA/TYAA,310.0629883,Not Formed,TCA,20,310.29,38.52408,-1.645758,4GC
76,Kitole,TIVA/TYAA,643.0819702,Not Formed,TCA,20,643.58,39.262944,-1.55065,4GC
77,TwiMavui,TIVA/TYAA,984.552002,Not Formed,TCA,20,985.32,38.773165,-1.589687,4GC
78,kalange,TIVA/TYAA,180.1340027,Not Formed,TCA,20,180.24,38.112478,-0.428465,4FB
79,Komo,TIVA/TYAA,262.0899963,Not Formed,TCA,20,262.21,37.969215,-0.481946,4ED
80,Tharaka,TIVA/TYAA,145.1600037,Not Formed,TCA,20,145.23,38.032936,-0.344052,4FA
81,Kavyuvaa,TIVA/TYAA,165.8119965,Formed,TCA,20,165.91,38.134992,-1.890479,4HA
82,Kyambusya,TIVA/TYAA,119.7149963,Not Formed,TCA,20,119.79,38.183814,-1.942372,4HA
83,Lower Enziu,TIVA/TYAA,565.7119751,Not Formed,TCA,20,566.14,38.670266,-1.331631,4GE
84,Al Amin Moju,Lower Tana,1142.709961, ,TCA,20,1143.58,38.677681,-0.347141,4GB
85,Chanyigi Mbubu WRUA,Lower Tana,936.1240234, ,TCA,20,936.83,38.62437,-0.300079,4GB
86,Tawakal,Lower Tana,643.9359741, ,TCA,20,644.45,39.034671,-0.313153,4GB
87,Madogo,Lower Tana,2212.560059, ,TCA,20,2214.18,39.445202,-0.430405,4GC
88,Lagha Tula,Lower Tana,1330.72998, ,TCA,20,1331.78,38.982363,-0.603757,4GD
89,Upper lagha Tula,Lower Tana,692.4749756, ,TCA,20,692.93,38.317984,-0.624233,4GD
90,Farbulo Areri,Lower Tana,695.5410156, ,TCA,20,696.08,39.28417,-0.550783,4GD
91,Habarow,Lower Tana,363.5750122, ,TCA,20,363.86,39.311954,-0.078194,4GC
92,Kasha,Lower Tana,258.32901, ,TCA,20,258.53,39.161867,-0.031454,4GB
93,Balambala(Khorweyne),Lower Tana,270.5710144, ,TCA,20,270.79,39.057148,0.029038,4GB
94,Lower Rahole,Lower Tana,246.5630035, ,TCA,20,246.76,38.945367,0.041188,4GB
95,Urukate Rahole WRUA,Lower Tana,234.7879944, ,TCA,20,234.97,38.843362,-0.005487,4GB
96,Gora,Lower Tana,743.5830078, ,TCA,20,744.17,38.778016,0.202468,4GB
97,Kanyang -Balich,Lower Tana,365.2669983, ,TCA,20,365.53,39.473221,-0.149393,4GC
98,Raya,Lower Tana,180.0059967, ,TCA,20,180.13,39.616296,-0.278238,4GC
99,Gananamaro,Lower Tana,170.1990051, ,TCA,20,170.31,39.6586,-0.404139,4GC
100,Kora kora,Lower Tana,228.5939941, ,TCA,20,228.73,39.802164,-0.556608,4GC
101,KamoraleWRUA,Lower Tana,231.8179932, ,TCA,20,231.94,39.941911,-0.622118,4KB
102,Talasaan,Lower Tana,131.1549988, ,TCA,20,131.23,39.849152,-0.732011,4GD
103,Lagha  madhah marodhi,Lower Tana,266.7669983, ,TCA,20,266.91,39.911574,-0.834118,4GD
104,Bura wathejiri,Lower Tana,623.9130249, ,TCA,20,624.21,40.022543,-1.076348,4KB
105,Lower Lagha Tula,Lower Tana,561.5930176, ,TCA,20,561.97,39.63213,-0.759755,4GD
106,lagha gelmat,Lower Tana,521.5120239, ,TCA,20,521.88,39.561299,-0.803112,4GD
107,Bil bil_wolesa,Lower Tana,1422.560059, ,TCA,20,1423.54,39.537148,-0.907413,4GD
108,Lahga Hirmani-Bangale,Lower Tana,1276.72998, ,TCA,20,1277.72,39.23405,-0.91926,4GE
109,Ukasi(Matia_Chama),Lower Tana,2064.889893, ,TCA,20,2066.48,38.763606,-0.96159,4GE
110,Lower lagha hirimani,Lower Tana,2469.800049, ,TCA,20,2471.47,39.579731,-1.209726,4GE
111,Lower Galole,Lower Tana,890.9799805, ,TCA,20,891.49,39.841524,-1.471851,4GC
112,Upper galole,Lower Tana,1537.939941, ,TCA,20,1539.08,39.3824,-1.402722,4GC
113,Moyowa dida(Wenje),Lower Tana,1299.579956, ,TCA,20,1300.27,39.914713,-1.731902,4GC
114,Makere_Bohoni,Lower Tana,576.2890015, ,TCA,20,576.53,40.116859,-1.333497,4GE
115,Ijara,Lower Tana,655.2459717, ,TCA,20,655.5,40.169464,-1.657803,4GC
116,Kotile Korisa,Lower Tana,422.9570007, ,TCA,20,423.1,40.228491,-1.890107,4GC
117,Mnazini_Baomo,Lower Tana,2125.75, ,TCA,20,2127.06,39.752544,-1.894811,4GC
118,Salama,Lower Tana,239.5529938, ,TCA,20,239.64,40.213016,-2.105023,4GG
119,Sera(Tivaa_Kokane),Lower Tana,1753.790039, ,TCA,20,1754.91,39.756625,-2.155749,4HB
120,Upper Lagha Buna,Lower Tana,1791.680054, ,TCA,20,1792.8,39.75763,-2.438863,4GG
121,R Janjalo_Dierra,Lower Tana,897.7059937, ,TCA,20,898.15,39.952876,-2.72329,4GG
122,Karawa,Lower Tana,463.4859924, ,TCA,20,463.65,40.208625,-2.608943,4GG
123,Lake Shakababo,Lower Tana,425.125, ,TCA,20,425.31,40.095777,-2.476289,4GG
124,Kipini (KIOKI),Lower Tana,777.2210083, ,TCA,20,777.43,40.333105,-2.416247,4GG
125,Lagha Buna,Lower Tana,366.427002, ,TCA,20,366.61,39.994056,-2.341974,4GG
126,Witu,Lower Tana,1674.060059, ,TCA,20,1674.38,40.419943,-2.214984,4GG
127,Lake Kenyatta,Lower Tana,413.4670105, ,TCA,20,413.44,40.696985,-2.398662,4KB
128,Amu Island,Lower Tana,51.29669952, ,TCA,20,51.28,40.861703,-2.286443,4KB
129,Hindi-Magogoni (Bele bele Chomo),Lower Tana,1678.26001, ,TCA,20,1678.17,40.664363,-2.100779,4KB
130,Manda Island,Lower Tana,49.31940079, ,TCA,20,49.3,40.944237,-2.267066,4KB
131,Pate Island,Lower Tana,89.09590149, ,TCA,20,89.05,41.07102,-2.095696,4KA
132,Ijara Jalish,Lower Tana,1448.839966, ,TCA,20,1449.1,40.429669,-1.58001,4KB
133,BodhI (Lake jerry),Lower Tana,1411.26001, ,TCA,20,1410.97,40.832329,-1.732668,4KB
134,Mangai (Dodori),Lower Tana,1535.630005, ,TCA,20,1534.81,41.071311,-1.740834,4KA
135,Kiunga,Lower Tana,1657.699951, ,TCA,20,1656.21,41.365216,-1.655849,4JB
136,Shimbiley,Lower Tana,591.8959961, ,TCA,20,592.31,39.548363,-0.021439,4JA
137,Lago,Lower Tana,930.1329956, ,TCA,20,930.68,39.800692,-0.187718,4JA
138,Harbole_Daiso,Lower Tana,1075.099976, ,TCA,20,1075.59,40.022903,-0.336156,4JA
139,Wel merer,Lower Tana,985.5089722, ,TCA,20,985.72,40.328107,-0.245895,4JA
140,Fafo,Lower Tana,885.4719849, ,TCA,20,885.61,40.434298,-0.501737,4JA
141,Katama,Lower Tana,1735.709961, ,TCA,20,1735.41,40.77168,-0.604021,4JA
142,Biya Gadud,Lower Tana,957.9530029, ,TCA,20,958.27,40.20955,-0.92156,4KB
143,Hulugoh Boma Hadi,Lower Tana,1883.030029, ,TCA,20,1882.04,41.11265,-1.167331,4JB
144,Madhah marub,Lower Tana,2109.52002, ,TCA,20,2109.9,40.40051,-1.247171,4KB
145,Galma Galla,Lower Tana,2399.399902, ,TCA,20,2398.82,40.829058,-1.293506,4KA
146,Biliftu_Dela,Lower Tana,1632.660034, ,TCA,20,1633.36,40.069643,-0.52248,4KA
147,Towfiq kuriti,Lower Tana,1147.949951, ,TCA,20,1148.85,38.861785,-0.85807,4GE
148,Gedilun,Lower Tana,669.9910278, ,TCA,20,670.05,40.522683,-1.744096,4KB
149,Sharaha,Lower Tana,300.3720093, ,TCA,20,300.42,40.473909,-1.856846,4KB
