S/No.,WRUA_NAME,SRO,Area,status,Basin (B),B_code,Areakm2,CentroidX,CentroidY,Subbasin
1,Nzetu,TIVA/TYAA,195.147995,Not Formed,TCA,20,195.27,38.218532,-0.344713,4FB
2,Lower Tyaa,TIVA/TYAA,371.8169861,Formed,TCA,20,372.01,38.024682,-0.789248,4ED
3,Mathauta,TIVA/TYAA,327.0039978,Formed,TCA,20,327.06,37.580893,-1.056914,4DE
4,Kalikuvu,TIVA/TYAA,1317.469971,Not Formed,TCA,20,1318.49,38.783968,-1.446411,4GC
5,Tsavo East National Park,TIVA/TYAA,1830.040039,Not Formed,TCA,20,1831.37,38.54005,-2.330891,4HB
6,Lagha Kokani,TIVA/TYAA,6367.390137,Not Formed,TCA,20,6372.35,38.97731,-2.112078,4HB
7,Kawala,TIVA/TYAA,6586.189941,Not Formed,TCA,20,6591.27,38.997705,-2.701318,4HC
8,Kauwi,TIVA/TYAA,140.7879944,Formed,TCA,20,140.85,37.944103,-1.243807,4HA
9,Upper Mikuyuni,TIVA/TYAA,137.3809967,Formed,TCA,20,137.43,37.797094,-1.285815,4HA
10,Matinga Ndiliu,TIVA/TYAA,311.302002,Formed,TCA,20,311.48,38.122615,-2.161066,4HA
