Record_ID,Original_Record_ID,County,Sub_Location,Date_Start,Date_End,Incident_Summary,Conflict_Type,Conflict_Subtype,Parties_Involved,Full_Text_Description,Source_Name,Source_URL,Data_Source_Type,Latitude,Longitude,Casualties_Reported,Displaced_Persons,Legal_Status,Outcome_Status,NLP_Keywords,Verified,Confidence_Score,Notes
KEN-TRK-003,KEN-TRK-003,Turkana,Turkana South Sub-County,1/1/2004,12/31/2024,"Turkana South Sub-County is a major conflict hotspot in the Turkana-Pokot resource conflict, with frequent cattle raids and killings over water and pasture access.",Water-Land,Pastoralist Conflict - Turkana-Pokot,Turkana Community; West Pokot Community; Kenya National Police; Kenya Army,"Turkana South Sub-County, along with Loima, forms the core of the Turkana-Pokot conflict zone along the Turkana-West Pokot county border. SCCRR's briefing paper identifies Turkana South as one of the primary 'hot spots' of the conflict. The borderline ho",ACCORD; SCCRR; Nation Media,https://www.accord.org.za/ajcr-issues/pastoral-conflict-in-kenya/,Academic; NGO; News,1.8333,35.5833,150+,8000+,Active Security Deployment,Ongoing,"Turkana South, Pokot, pastoralist, water conflict, pasture, cattle raid, ACCORD, security forces",Yes,0.88,ACCORD and SCCRR cited directly.
KEN-TRK-132,KEN-TRK-132,Turkana,Turkana - Rainy Season Paradox - Raids Increase with Rain,1/1/2004,12/31/2024,"ACCORD's review of pastoral conflict research documented the counter-intuitive finding: quantitative analysis suggests violent raids actually increase during rainy seasons, not drought, as actors compete over newly discovered water points and aquifers -�",Water-Land,Rainy Season Paradox - Raids Increase During Rains Not Drought - ACCORD/Adano 2009,Turkana Pastoralists; Pokot Pastoralists; Academic Researchers Witsenburg and Adano (2009); Raleigh and Kniveton (2012); Adano et al. (2012),ACCORD's review 'Pastoral conflict in Kenya' cited Witsenburg and Adano (2009): 'Data over time indicate that the frequency of raids and their level of violence increase with rainy seasons and recede with drought-like conditions (Witsenburg and Adano 200,ACCORD; Witsenburg and Adano (2009); Adano et al. (2012); Shalom-SCCRR,https://www.accord.org.za/ajcr-issues/pastoral-conflict-in-kenya/,Academic; NGO,2.9,35.5,100+,Unknown,Academic Documentation,Ongoing - Structural,"rainy season paradox, raids increase, aquifer, resource abundance, Witsenburg Adano 2009, Raleigh Kniveton 2012, Adano 2012, Turkana, Pokot",Yes,0.92,ACCORD directly cited. Multi-source academic consensus confirmed.
KEN-NBI-243,KEN-NBI-243,Nairobi,Nairobi - ACLED Q1 2023 - 77% Rise in Pastoralist Militia Events vs Q4 2022,1/1/2023,3/24/2023,ACLED's March 2023 situation report documented 69 political violence events involving pastoralist militias from 1 January to 24 March 2023 -” a 77% increase compared to the period from 10 October to 31 December 2022. This escalation directly triggered,Water-Land,North Rift ACLED Q1 2023 - 77% Rise in Militia Events vs Q4 2022 - Pre-Operation Baseline,Pastoralist Militias; Security Forces; North Rift Communities; ACLED,"ACLED's March 2023 Kenya situation update documented: 'ACLED records 69 political violence events involving pastoralist militias from 1 January to 24 March 2023, a 77% increase compared to the period from 10 October to 31 December 2022.' This Q1 2023 esc",ACLED,https://acleddata.com/update/kenya-situation-update-march-2023-government-operation-against-pastoralist-militias-north,Conflict Data,2.5,35.5,239+,25000+,Active - Operation Launched,Ongoing,"ACLED Q1 2023, 77% rise, 69 events, pastoralist militia, North Rift, Operation Maliza Uhalifu, logistical sophistication",Yes,0.98,ACLED directly cited. Statistics confirmed.
KEN-NBI-197,KEN-NBI-197,Nairobi,Nairobi - Housing Deficit - 8.88 Million Unit Gap 2024,1/1/2024,12/31/2024,"The ACRC (2024) documented that Kenya has a national housing deficit of more than 8,888,626 units, making it structurally impossible for the government to house informal settlement residents displaced by riparian enforcement -” an acknowledged conflict",Water-Land,National Housing Deficit 8.88 Million Units - Informal Settlement Growth Driver,Ministry of Housing; National Government; Nairobi Informal Settlers; ACRC Researchers,"The African Cities Research Consortium (ACRC, 2024) documented that 'the government is also aware of the current national housing deficit of more than 8,888,626 units. This contributes to the expansion of informal settlements. Armed with this knowledge,",ACRC,https://www.african-cities.org/do-flood-evictions-in-nairobis-informal-settlements-violate-the-law/,Academic; NGO,-1.2864,36.8172,0,8888626+,Active - Structural Deficit,Ongoing - Structural,"housing deficit, 8.88 million units, Kenya, ACRC, informal settlement, riparian, eviction, 50,000 units insufficient, structural driver",Yes,0.95,ACRC directly cited. Housing deficit figure confirmed.
KEN-NBI-198,KEN-NBI-198,Nairobi,Nairobi - 2013-2018 - Eviction Legal Framework Gap,1/15/2013,12/31/2018,"Between the 2013 High Court order requiring the state to develop eviction legal frameworks and the 2018 Supreme Court affirmation that UN Guidelines apply as soft law, the government failed for five years to develop the required framework, leaving inform",Water-Land,2013-2018 - Five-Year Government Failure to Develop Eviction Framework,High Court; Supreme Court; Ministry of Housing; Ministry of Interior; Civil Society; Informal Settlement Residents,The ACRC (2024) documented the five-year governance failure: the 2013 High Court ruling required the state to develop legal frameworks for evictions; the government failed to act; and in 2018 the Supreme Court filled the gap by affirming UN Guidelines as,ACRC; KHRC; Supreme Court,https://www.african-cities.org/do-flood-evictions-in-nairobis-informal-settlements-violate-the-law/,Academic; NGO; Court Record,-1.2864,36.8172,0,Unknown,Governance Failure - Legal Gap,Ongoing - Resolved (2018 Supreme Court),"2013 High Court, 2018 Supreme Court, eviction framework, five-year gap, UN Guidelines, soft law, Kenyatta 2018, KHRC, governance failure",Yes,0.93,ACRC directly cited.
KEN-NBI-192,KEN-NBI-192,Nairobi,Nairobi - 2013 High Court Eviction Framework Ruling,1/15/2013,12/31/2018,"A 2013 High Court ruling determined that the State was required to develop appropriate legal frameworks for evictions. The government failed to do so. In 2018, the Supreme Court affirmed that in the absence of such guidelines, the UN Guidelines on evicti",Water-Land,2013 High Court - State Must Develop Eviction Legal Framework - 2018 Supreme Court Soft Law Extension,High Court; Supreme Court; Ministry of Housing; Eviction-Affected Communities; Civil Society,"The African Cities Research Consortium (ACRC, 2024) documented that 'as determined by a high court case in 2013, the state was to develop appropriate legal frameworks for evictions. The Kenyan government failed to do this, leading to a 2018 ruling by the",ACRC; Supreme Court; High Court,https://www.african-cities.org/do-flood-evictions-in-nairobis-informal-settlements-violate-the-law/,Academic; Court Record,-1.2864,36.8172,0,Unknown,Legal Framework Missing - Soft Law Applicable,Ongoing - Framework Gap,"2013 High Court, 2018 Supreme Court, eviction framework, UN Guidelines, soft law, government failure, 2013-2024 gap",Yes,0.95,ACRC directly cited. 2013 and 2018 court rulings confirmed.
KEN-TRK-015,KEN-TRK-015,Turkana,Turkana Basin - Entire County,1/1/2004,12/31/2024,"Systemic climate-driven land and water resource conflict across Turkana County linked to prolonged droughts, failed rains, and diminishing water availability over the 20-year period 2004-2024.",Water-Land,Climate-Driven Resource Conflict - Systemic,All Pastoralist Communities in Turkana; Government of Kenya; Development Partners; UNDP; FAO,"The Eastern African Journal of Humanities and Social Sciences (2023) documented that the semi-arid and arid regions of the Kenyan borders, particularly the Lake Turkana Basin, have experienced perennial conflicts between ethnic groups revolving around sc",AJOL; Frontiers Environmental Science; NCBI; FairPlanet,https://www.ajol.info/index.php/eajhss/article/view/261045,Academic; News,3.119,35.597,500+,50000+,Active - Government Emergency Declarations,Ongoing - Systemic,"Turkana, climate change, drought, water conflict, systemic, pastoral, Lake Turkana, livelihoods, ASAL",Yes,0.92,Multiple academic peer-reviewed sources directly cited.
KEN-MCK-181,KEN-MCK-181,Machakos,Machakos - Yatta Canal - Government Intervention - Water Allocation Favours Landowners,1/1/2004,12/31/2025,"Academic study on Yatta Canal documented that water allocation 'favours landowners' and 'stakeholders are not fully involved in planning, management and development' -” creating documented structural inequity that drives conflict between upstream irrig",Water-Land,Yatta Canal Water Conflict - IWRM Study - Water Demand Exceeds Supply - Landowner Favouritism - Stakeholder Exclusion,WRMA; Yatta Division Irrigators; Downstream Communities; Machakos County; Academia.edu,"Academia.edu documented: 'It was established that the current water demand outstrips supply and that there is inefficient water use especially for irrigation. Water allocation process favours landowners, and stakeholders are not fully involved in plannin",Academia.edu,https://www.academia.edu/123136778/PROJECT_FOCUS_YATTA_CANAL_REHABILITATION_PROJECT_MACHAKOS_KENYA,Academic,-1.32,37.48,0,Unknown,Active - Structural Inequity,Ongoing - Structural,"Yatta Canal, water allocation, favours landowners, stakeholders excluded, IWRM, demand exceeds supply, inefficient irrigation, Machakos, upstream downstream",Yes,0.86,Academia.edu directly cited.
KEN-MCK-180,KEN-MCK-180,Machakos,Yatta Canal - Machakos - Upstream Downstream Conflict - Seasonal Water Shortage,1/1/2004,12/31/2025,"An academic study on the Yatta Canal Rehabilitation Project (Machakos County) documented that 'over the years, the water supply has been unreliable especially during dry season leading to conflicts between upstream and downstream consumers. Sometimes the",Water-Land,Yatta Canal - 60km Machakos - Upstream Downstream Consumer Conflict - Government Forced to Intervene,Yatta Canal Upstream Users; Downstream Users; Machakos County; Government of Kenya; WRMA; Academia.edu Researchers,"Academia.edu documented 'Project Focus: Yatta Canal Rehabilitation Project, Machakos Kenya': 'Yatta Canal is situated in Yatta division, Machakos district about 100 km from Nairobi along Thika-Garissa road. It is about 60 Km long and supplies water for d",Academia.edu; Machakos County,https://www.academia.edu/123136778/PROJECT_FOCUS_YATTA_CANAL_REHABILITATION_PROJECT_MACHAKOS_KENYA,Academic,-1.32,37.48,0,Unknown,Active - Seasonal Conflict,Ongoing - Structural,"Yatta Canal, Machakos, 60km, upstream downstream conflict, seasonal water shortage, government intervene, IWRM, water allocation favours landowners, stakeholders excluded",Yes,0.88,Academia.edu directly cited.
KEN-TRK-234,KEN-TRK-234,Turkana,Turkana - Schilling et al 2012 - 650 Deaths 2006-2009 - 150 in 2006 110 in 2007 115 in 2008 275 in 2009 - Raid Death Rate,1/1/2006,12/31/2009,"Schilling et al (2012) documented: 650 human deaths from Turkana-Pokot raids 2006-2009 -” 150 deaths in 2006, 110 in 2007, 115 in 2008, 275 in 2009 -” an average of 2.13 deaths per raid. This academic quantification fills the Turkana 2006/2007/2008 s",Water-Land,Schilling et al 2012 - Turkana Pokot Raids 2006-2009 - 650 Deaths - 150 2006 110 2007 115 2008 275 2009 - 2.13 Deaths Per Raid,Turkana Communities; Pokot Communities; Schilling et al (2012); Academia.edu; KNCHR,"Academia.edu (Schilling et al 2012/2014 data) documented: 'There has been around 650 human deaths in the same period (150 in 2006, 110 in 2007, 115 in 2008, 275 in 2009). This means that there has been around 2.13 human deaths per raid in this period. A",Academia.edu; Schilling et al,https://www.academia.edu/23488540/Conflicts_in_the_pastoral_Turkana_area,Academic,2,35.5,650,Unknown,Academic Documentation,Resolved (Historical),"Schilling 2012, 650 deaths, 2006-2009, 150 2006, 110 2007, 115 2008, 275 2009, 2.13 deaths per raid, Turkana Pokot, raid escalation",Yes,0.92,Academia.edu (Schilling et al 2012) directly cited.
