County,SubCounty,Male,Female,Total_Population,Number_of_Households,Avg_Household_Size,Land_Area_SqKm,Population_Density_per_SqKm
Nairobi,Dagoretti,217651,216526,434208,155089,2.8,29.1,14908
Nairobi,Embakasi,492476,496270,988808,347955,2.8,86.3,11460
Nairobi,Kamukunji,136670,131599,268276,84365,3.1,10.5,25455
Nairobi,Kasarani,381234,399385,780656,271290,2.8,86.2,9058
Nairobi,Kibra,94199,91569,185777,61690,2.9,12.1,15311
Nairobi,Lang'ata,96698,100774,197489,62239,3.1,216.8,911
Nairobi,Makadara,96369,93157,189536,70361,2.7,11.7,16150
Nairobi,Mathare,106522,100028,206564,74967,2.7,3.0,68941
Nairobi,Njiru,307642,318809,626482,204563,3.0,129.9,4821
Nairobi,Starehe,109173,101238,210423,69389,2.8,20.6,10205
Nairobi,Westlands,153818,155021,308854,104980,2.9,97.5,3167
Kiambu,Gatundu North,54189,55678,109870,31472,3.5,285.9,384
Kiambu,Gatundu South,60384,61714,122103,35609,3.4,193.6,631
Kiambu,Githunguri,82037,83187,165232,49426,3.3,174.4,948
Kiambu,Juja,148446,152480,300948,104301,2.9,342.0,880
Kiambu,Kabete,97794,101845,199653,66710,3.0,60.7,3289
Kiambu,Kiambaa,115690,120695,236400,80332,2.9,91.1,2595
Kiambu,Kiambu,69661,76225,145903,47275,3.1,98.3,1484
Kiambu,Kikuyu,90919,96198,187122,60686,3.1,172.9,1082
Kiambu,Lari,67061,68238,135303,38592,3.5,432.3,313
Kiambu,Limuru,79632,79682,159314,49174,3.2,285.1,559
Kiambu,Ruiru,180947,190144,371111,129470,2.9,201.1,1846
Kiambu,Thika East,19688,19264,38956,12736,3.0,109.9,354
Kiambu,Thika West,120698,125104,245820,89458,2.7,91.4,2689
Turkana,Kibish,18651,18117,36769,5805,6.3,10466.1,4
Turkana,Loima,54341,53453,107795,19438,5.5,9113.3,12
Turkana,Turkana Central,93145,92160,185305,38173,4.8,6415.2,29
Turkana,Turkana East,76871,61643,138526,17981,7.7,11395.6,12
Turkana,Turkana North,32810,32408,65218,13119,5.0,7012.2,9
Turkana,Turkana South,78402,75329,153736,24552,6.2,7051.5,22
Turkana,Turkana West,123867,115758,239627,45451,5.3,16778.9,14
Machakos,Athi River,164322,158172,322499,109735,2.9,827.2,390
Machakos,Kalama,26764,27692,54462,14182,3.8,487.2,112
Machakos,Kangundo,48697,49219,97917,26142,3.7,172.7,567
Machakos,Kathiani,54910,56976,111890,28730,3.9,205.6,544
Machakos,Machakos,85486,85114,170606,50979,3.3,280.2,609
Machakos,Masinga,73519,75001,148522,36251,4.1,1405.7,106
Machakos,Matungulu,81145,80407,161557,44454,3.6,581.4,278
Machakos,Mwala,90427,91466,181896,45840,4.0,1020.3,178
Machakos,Yatta,85437,87144,172583,46153,3.7,1062.4,162
