S/No.,Abstraction Type,WRA_ID,Applicant_Category,Permit_class,ApplicationStatus,Sub_county,County,SubBasinManagementUnitCode,BasinArea,Public,Domestic,Livestock,Sub Irrig,Comm Irrig,Ind/Comm,Hydro,Others,Total (M3/Day),Aquifer,matched_county,matched_subcounty,match_score,match_method,County_recovered
1,Ground Water,WRMA\30\44170,Individual,B,Authorisation Expired,RUIRU,,3BA,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Kiambu,Ruiru,100.0,exact,Kiambu
2,Ground Water,WRA\30\54776,Individual,B,Authorisation Expired,EMBAKASI,NAIROBI CITY,3BA,Athi,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Nairobi,Embakasi,100.0,exact,NAIROBI CITY
3,Ground Water,WRMA\30\47425,Individual,B,Authorisation Expired,Embakasi,,3BA,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Nairobi,Embakasi,100.0,exact,Nairobi
4,Ground Water,WRA\30\59413,Individual,B,Authorisation Approved By Basin Area Officer,RUIRU,KIAMBU,3BC,Athi,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Nairobi Suite Athi,Kiambu,Ruiru,100.0,exact,KIAMBU
5,Ground Water,WRMA\30\49058,Company,B,Authorisation Expired,ATHI RIVER,,3AC,ATHI,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,Nairobi Suite,Machakos,Athi River,100.0,exact,Machakos
6,Ground Water,WRMA\30\50467,Individual,B,Authorisation Expired,MACHAKOS,,3EA,ATHI,0.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,25.0,Basement Athi,Machakos,Machakos,100.0,exact,Machakos
7,Ground Water,WRA\30\59103,Individual,B,Authorisation Approved at HQ by Manager,KIAMBAA,KIAMBU,3BA,Athi,0.0,20.0,0.0,40.0,0.0,0.0,0.0,0.0,60.0,Nairobi Suite,Kiambu,Kiambaa,100.0,exact,KIAMBU
8,Ground Water,WRMA\30\49047,Company,B,Authorisation Expired,Dagoretti,,3BA,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Nairobi,Dagoretti,100.0,exact,Nairobi
9,Ground Water,WRA\30\58815,Individual,B,Authorisation Approved at HQ by Manager,DAGORETTI,NAIROBI CITY,3BA,Athi,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Nairobi,Dagoretti,100.0,exact,NAIROBI CITY
10,Ground Water,WRA\30\59355,Company,B,Authorisation Approved at HQ by Manager,LANG'ATA,NAIROBI CITY,3BA,Athi,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Nairobi,Lang'ata,100.0,exact,NAIROBI CITY
11,Ground Water,WRMA\30\44978,Individual,B,Authorisation Expired,Kiambu West,,3BA,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Kiambu,Kiambu,100.0,exact,Kiambu
12,Ground Water,WRMA\30\43598,Individual,B,Authorisation Expired,Embakasi,,3BA,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Nairobi,Embakasi,100.0,exact,Nairobi
13,Ground Water,WRMA\30\47761,Individual,B,Authorisation Expired,ATHI-RIVER,,3AC,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Machakos,Athi River,100.0,exact,Machakos
14,Ground Water,WRMA\30\48961,Individual,B,Authorisation Expired,MACHAKOS,,3EA,ATHI,0.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,25.0,Basement Athi,Machakos,Machakos,100.0,exact,Machakos
15,Ground Water,WRMA\30\43256,Individual,B,Authorisation Expired,Embakasi,,3BA,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Nairobi,Embakasi,100.0,exact,Nairobi
16,Ground Water,WRA\30\07405,Individual,B,WRA Number Processed waiting Basin Area LO Approval,KALAMA,MACHAKOS,3EA,Athi,0.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,20.0,Basement Athi,Machakos,Kalama,100.0,exact,MACHAKOS
17,Ground Water,WRMA\30\42989,Individual,B,Authorisation Expired,KAJIADO,,3AA,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,,,53.333333333333336,unmatched,
18,Ground Water,WRMA\30\49839,Individual,B,Authorisation Expired,MACHAKOS,,3EA,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Basement Athi,Machakos,Machakos,100.0,exact,Machakos
19,Ground Water,WRA\30\58286,Individual,B,Authorisation Approved at HQ by Manager,NJIRU,NAIROBI CITY,3BA,Athi,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Nairobi Suite,Nairobi,Njiru,100.0,exact,NAIROBI CITY
20,Ground Water,WRMA\30\01007,Individual,B,Authorisation Expired,Kasarani,,3BA,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Nairobi,Kasarani,100.0,exact,Nairobi
21,Ground Water,WRMA\30\05732,Individual,B,Authorisation Expired,MACHAKOS,,3AC,ATHI,0.0,2.0,1.0,16.0,0.0,0.0,0.0,1.0,20.0,Nairobi Suite,Machakos,Machakos,100.0,exact,Machakos
22,Ground Water,WRMA\30\47609,Individual,B,Authorisation Expired,KIAMBU,,3BA,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Kiambu,Kiambu,100.0,exact,Kiambu
23,Ground Water,WRMA\30\44117,Individual,B,Authorisation Expired,NJIRU,NAIROBI CITY,3BA,Athi,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Nairobi,Njiru,100.0,exact,NAIROBI CITY
24,Ground Water,WRMA\30\47724,Company,B,Authorisation Expired,GITHUNGURI,,3BC,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite Athi,Kiambu,Githunguri,100.0,exact,Kiambu
25,Ground Water,WRA\30\52545,Individual,B,Authorisation Expired,RUIRU,KIAMBU,3BC,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite Athi,Kiambu,Ruiru,100.0,exact,KIAMBU
26,Ground Water,WRA\30\54049,Individual,B,Authorisation Expired,EMBAKASI,NAIROBI CITY,3BA,Athi,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Nairobi,Embakasi,100.0,exact,NAIROBI CITY
27,Ground Water,WRMA\30\41289,Company,B,Authorisation Expired,Langata,,3AA,ATHI,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Nairobi Suite,Nairobi,Lang'ata,100.0,exact,Nairobi
28,Ground Water,WRMA\30\01125,Individual,B,Authorisation Expired,Ruiru,,3BC,ATHI,0.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0,30.0,Nairobi Suite Athi,Kiambu,Ruiru,100.0,exact,Kiambu
29,Ground Water,WRMA\30\50321,Individual,B,Authorisation Expired,Matungulu,,3EA,ATHI,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,Basement Athi,Machakos,Matungulu,100.0,exact,Machakos
