Record_ID,geo_county,geo_subcounty
KEN-NBI-001,Nairobi,Kilimani
KEN-NBI-002,Nairobi,Kilimani
KEN-NBI-003,Nairobi,Makadara
KEN-NBI-004,Nairobi,Kilimani
KEN-NBI-005,Nairobi,Kilimani
KEN-NBI-006,Nairobi,Kilimani
KEN-NBI-007,Nairobi,Kilimani
KEN-NBI-008,Nairobi,Langata
KEN-NBI-009,Nairobi,Kilimani
KEN-NBI-010,Nairobi,Mathare
KEN-NBI-011,Nairobi,Langata
KEN-NBI-012,Nairobi,Embakasi South
KEN-NBI-013,Nairobi,Kasarani
KEN-NBI-015,Machakos,Mavoko
KEN-KBU-002,Kiambu,Ruiru
KEN-KBU-003,Nairobi,Roysambu
KEN-KBU-004,Kiambu,Lari
KEN-KBU-005,Kiambu,Lari
KEN-KBU-006,Nairobi,Westlands
KEN-KBU-007,Kiambu,Thika Town
KEN-KBU-008,Kiambu,Kiambu
KEN-MCK-008,Machakos,Matungulu
KEN-NBI-018,Nairobi,Ruaraka
KEN-NBI-019,Nairobi,Makadara
KEN-NBI-020,Nairobi,Mathare
KEN-NBI-021,Nairobi,Kilimani
KEN-KBU-009,Kiambu,Juja
KEN-KBU-010,Kiambu,Kiambaa
KEN-NBI-022,Nairobi,Westlands
KEN-NBI-023,Nairobi,Embakasi Central
KEN-KBU-011,Nairobi,Westlands
KEN-NBI-025,Nairobi,Starehe
KEN-KBU-012,Kiambu,Juja
KEN-MCK-014,Kiambu,Thika Town
KEN-NBI-026,Nairobi,Kilimani
KEN-NBI-027,Nairobi,Westlands
KEN-KBU-013,Kiambu,Thika Town
KEN-NBI-028,Nairobi,Roysambu
KEN-KBU-014,Kiambu,Kikuyu
KEN-NBI-030,Nairobi,Kasarani
KEN-KBU-015,Nairobi,Westlands
KEN-NBI-031,Nairobi,Starehe
KEN-KBU-016,Kiambu,Juja
KEN-NBI-033,Nairobi,Kilimani
KEN-NBI-034,Nairobi,Kilimani
KEN-KBU-017,Kiambu,Githunguri
KEN-NBI-035,Nairobi,Embakasi Central
KEN-KBU-018,Kiambu,Juja
KEN-NBI-037,Nairobi,Kamukunji
KEN-NBI-039,Nairobi,Mathare
KEN-NBI-041,Nairobi,Kibra
KEN-NBI-042,Nairobi,Kilimani
KEN-NBI-044,Nairobi,Starehe
KEN-NBI-045,Nairobi,Kilimani
KEN-NBI-047,Nairobi,Mathare
KEN-NBI-048,Nairobi,Ruaraka
KEN-NBI-049,Nairobi,Mathare
KEN-NBI-050,Nairobi,Starehe
KEN-KBU-020,Kiambu,Lari
KEN-KBU-021,Kiambu,Lari
KEN-KBU-022,Kiambu,Gatundu South
KEN-KBU-024,Kiambu,Gatundu North
KEN-KBU-025,Kiambu,Gatundu North
KEN-KBU-026,Kiambu,Juja
KEN-MCK-023,Machakos,Kangundo
KEN-NBI-051,Nairobi,Kasarani
KEN-NBI-053,Machakos,Mavoko
KEN-KBU-027,Kiambu,Ruiru
KEN-KBU-029,Kiambu,Juja
KEN-MCK-030,Kiambu,Juja
KEN-NBI-054,Nairobi,Makadara
KEN-NBI-055,Kiambu,Kiambu
KEN-NBI-056,Nairobi,Mathare
KEN-NBI-058,Nairobi,Embakasi East
KEN-KBU-032,Kiambu,Lari
KEN-NBI-059,Nairobi,Kilimani
KEN-NBI-060,Nairobi,Kamukunji
