Month,conflict_onset_total,conflict_onset_mean,conflict_onset_std
1,226,0.24565217391304348,0.43070735237544255
2,47,0.053409090909090906,0.2249757229407447
3,47,0.053409090909090906,0.22497572294074472
4,53,0.060227272727272727,0.23804272650546449
5,55,0.0625,0.24219911138630132
6,34,0.038636363636363635,0.19283633394920968
7,30,0.03409090909090909,0.18156591248662865
8,25,0.028409090909090908,0.16623301739420662
9,27,0.03068181818181818,0.17255224896361532
10,28,0.031818181818181815,0.17561557881755654
11,31,0.035227272727272725,0.18445860437983075
12,5,0.005681818181818182,0.07520613242226046
