model,accuracy,precision,recall,f1,roc_auc,pr_auc,horizon_months
LogisticRegression,0.8966425279789335,0.4444444444444444,0.02564102564102564,0.048484848484848485,0.6638965705363358,0.20887450442376432,3
RandomForest,0.7662936142198815,0.18006430868167203,0.358974358974359,0.2398286937901499,0.6374325112402882,0.1709433208687759,3
XGBoost,0.8670177748518763,0.25,0.14743589743589744,0.18548387096774194,0.605432962733036,0.17043839630343255,3
LogisticRegression,0.8959842001316656,0.4,0.02564102564102564,0.04819277108433735,0.6572558647026732,0.22730176570586333,6
RandomForest,0.8973008558262014,0.0,0.0,0.0,0.6539731361815,0.18245907698063396,6
XGBoost,0.857801184990125,0.13414634146341464,0.07051282051282051,0.09243697478991597,0.5928287901875576,0.13588110705081613,6
LogisticRegression,0.4976958525345622,0.12669126691266913,0.6602564102564102,0.21259029927760578,0.6182581786030062,0.19349858569815026,9
RandomForest,0.8979591836734694,0.6666666666666666,0.01282051282051282,0.025157232704402517,0.6383119814887973,0.2099662159427974,9
XGBoost,0.597761685319289,0.1348314606741573,0.5384615384615384,0.21566110397946084,0.5866936621705514,0.14768747360072554,9
LogisticRegression,0.8887425938117183,0.0,0.0,0.0,0.5916953552683559,0.16749892768319496,12
RandomForest,0.749177090190915,0.17765042979942694,0.3974358974358974,0.24554455445544554,0.6116221758188011,0.19395026767815068,12
XGBoost,0.8729427254772877,0.29213483146067415,0.16666666666666666,0.21224489795918366,0.6008333803638279,0.19482507211249372,12
LogisticRegression,0.8933508887425938,0.0,0.0,0.0,0.609360009029855,0.16055483918721067,15
RandomForest,0.6109282422646478,0.14402618657937807,0.5641025641025641,0.22946544980443284,0.6121112929623568,0.14282647993964123,15
XGBoost,0.8380513495720869,0.17857142857142858,0.16025641025641027,0.16891891891891891,0.6259711797129259,0.14885088875075086,15
LogisticRegression,0.8953258722843976,0.0,0.0,0.0,0.6316430573583911,0.18979261363803804,18
RandomForest,0.8973008558262014,0.0,0.0,0.0,0.636167390936283,0.16778412714950125,18
XGBoost,0.8222514812376563,0.1797752808988764,0.20512820512820512,0.19161676646706588,0.6049579547378521,0.14870093150504882,18
LogisticRegression,0.8973008558262014,0.5,0.01282051282051282,0.025,0.6202804898696315,0.2011017015351546,21
RandomForest,0.8973008558262014,0.0,0.0,0.0,0.639798145117294,0.21475310211718102,21
XGBoost,0.5497037524687294,0.13636363636363635,0.6346153846153846,0.22448979591836735,0.6243298154523393,0.181716916084573,21
LogisticRegression,0.43515470704410797,0.12339055793991416,0.7371794871794872,0.2113970588235294,0.6121771356547585,0.17190138981719544,24
RandomForest,0.67412771560237,0.158953722334004,0.5064102564102564,0.24196018376722817,0.6151024324171792,0.1524183387452263,24
XGBoost,0.8413429888084266,0.1897810218978102,0.16666666666666666,0.17747440273037543,0.6036222886919879,0.1519864726898933,24
