Date_Start_parsed,Land-only,Mixed,Neither,Water-only
1904,0,0,0,1
1960,0,0,0,1
1963,0,0,0,1
1973,0,0,2,0
1978,1,0,0,0
1979,0,0,1,0
1989,0,0,0,1
1990,0,0,1,0
1994,0,0,1,1
1996,2,0,3,2
1997,2,1,5,1
1998,0,0,2,1
1999,1,0,1,2
2000,0,1,6,1
2001,1,0,2,2
2002,1,0,2,2
2003,0,0,1,3
2004,4,15,12,49
2005,2,1,5,9
2006,1,1,7,9
2007,3,2,2,7
2008,5,1,2,10
2009,4,5,8,10
2010,4,6,9,38
2011,0,2,15,18
2012,6,5,13,17
2013,7,4,4,14
2014,8,7,8,25
2015,7,20,14,45
2016,3,10,12,34
2017,6,12,10,26
2018,17,7,37,59
2019,9,8,24,60
2020,13,3,32,44
2021,12,12,18,53
2022,4,3,17,40
2023,6,7,34,48
2024,10,20,83,88
2025,19,22,40,33
2026,5,5,26,67
