Record_ID,County,Sub_Location,Conflict_Type,Conflict_Subtype,Date_Start,Date_End,Parties_Involved,Incident_Summary,Full_Text_Description,Source_Name,Source_URL,Data_Source_Type,Latitude,Longitude,Casualties_Reported,Displaced_Persons,Legal_Status,Outcome_Status,NLP_Keywords,Verified,Confidence_Score,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Date_Start_parsed,Date_End_parsed,duration_days,Casualties_Reported_numeric,Casualties_Reported_is_lower_bound,Casualties_Reported_is_unknown,Displaced_Persons_numeric,Displaced_Persons_is_lower_bound,Displaced_Persons_is_unknown,is_long_duration,notes_mentions_chronic,Is_Composite,severity_score,Original_Record_ID
KEN-NBI-001,Nairobi,Kangemi,Water-Land,Riparian Encroachment,3/1/2016,5/31/2016,Nairobi County Government; Residents of Kangemi; Kenya Alliance of Resident Associations (KARA),Nairobi County Government identified illegal structures built on riparian reserves along rivers flowing through Kangemi. Over 2000 plots were identified across the city as encroaching on riparian land. County issued letters to Ministry of Land to revoke title deeds.,"In March 2016, the Nairobi County Government announced that approximately 2,000 plots of land in the hands of developers lay on riparian lands within Nairobi. The county wrote to the Ministry of Land to revoke title deeds of those plots. In Kangemi, shanties and permanent structures were built right on or adjacent to rivers, leaving no buffer space as required by law. The CEO of Kenya Alliance of Resident Associations (KARA) Henry Ochieng stated that blocking the riparian channel was holding millions of residents at ransom. The law requires a minimum 10-metre riparian reserve on each bank of any river or stream.",Daily Nation / Healthy Nation,https://nation.africa/kenya/healthy-nation/nairobi-residents-paying-price-for-land-grabbed-from-raging-rivers-38790,Print/Online News,-1.2741,36.7484,0,Unknown,Active - Ministry of Land notified,Unresolved - title revocation process incomplete,"riparian encroachment, river bank, illegal structures, title deeds, Kangemi, floods, riparian reserve",Yes,0.82,Part of a citywide 2016 enforcement announcement covering 2000 plots. KARA CEO quoted directly.,,,,,,,,,,2016-03-01,2016-05-31,91.0,0.0,False,False,,False,True,False,False,False,0.0,KEN-NBI-001
KEN-NBI-002,Nairobi,Lavington,Water-Land,Wetland Encroachment,3/1/2016,6/30/2016,Law Society of Kenya; Developer; NEMA; Water Resource Management Authority (WRMA),The Law Society of Kenya sought to stop development on a piece of land along Njumbi Road in Lavington that had been gazetted as a wetland by NEMA and the Water Management Authority.,"In March 2016, the Law Society of Kenya filed a legal challenge to stop the development of a controversial piece of land along Njumbi Road in the Lavington area of Nairobi. The land had been officially gazetted as a wetland by the National Environment Management Authority (NEMA) and the Water Resource Management Authority (WRMA). Despite its protected status, a developer had obtained approvals and commenced construction. The Law Society argued this was a violation of environmental law and the public interest. The conflict represents a broader pattern of wetlands in Nairobi being encroached upon by private developers despite their protected status.",Daily Nation,https://nation.africa/kenya/healthy-nation/nairobi-residents-paying-price-for-land-grabbed-from-raging-rivers-38790,Print/Online News,-1.28,36.78,0,0,Legal Challenge Filed,Ongoing Litigation,"wetland, Lavington, NEMA, gazettement, Law Society, developer, water management, encroachment",Yes,0.8,Case referenced in broader Daily Nation investigation on riparian encroachment in Nairobi (2016).,,,,,,,,,,2016-03-01,2016-06-30,121.0,0.0,False,False,0.0,False,False,False,False,False,0.0,KEN-NBI-002
KEN-NBI-003,Nairobi,Mukuru,Water-Land,Riparian Encroachment - Informal Settlement,1/1/2010,12/31/2020,Mukuru Slum Residents; Nairobi County Government; Kenya Red Cross; Ministry of Lands,"Residents of Mukuru slum built structures directly on and adjacent to rivers within the area, blocking natural flow channels and contributing to chronic flooding. Multiple floods displaced families annually.","Mukuru is one of Nairobi's largest informal settlements and is criss-crossed by rivers that have been systematically encroached upon by informal structures. Residents, facing extreme poverty and lack of legal land tenure, built homes directly on riverbanks and even over rivers, which are covered with corrugated iron sheets. This long-running situation has resulted in seasonal flooding that kills and displaces families. The Nairobi county authorities have repeatedly cited Mukuru as a zone of critical riparian misuse. The lack of alternative housing options for low-income residents makes eviction and enforcement deeply contentious. Community organizations and human rights groups have pushed back against forced evictions without resettlement plans.",Multiple - Daily Nation; Standard Media; Kenya Red Cross Reports,https://nation.africa/kenya/counties/nairobi,Print/Online News; NGO Reports,-1.31,36.87,12,5000,Enforcement Notices Issued Periodically,Partially Enforced - Chronic Situation,"Mukuru, riparian, informal settlement, flooding, eviction, displacement, slum, Nairobi River",Yes,0.78,Composite entry covering a long-term chronic situation documented across multiple sources 2010-2020.,,,,,,,,,,2010-01-01,2020-12-31,4017.0,12.0,False,False,5000.0,False,False,True,True,True,6.823645943170989,KEN-NBI-003
KEN-NBI-004,Nairobi,Kilimani,Water-Land,Riparian Encroachment - Formal Development,4/1/2023,5/13/2026,Residents of Elite Court; Nairobi County Government; Governor Johnson Sakaja; National Environment Management Authority,Hundreds of residents at Elite Court along Ole Dume Road in Kilimani faced eviction as Nairobi County intensified crackdown on buildings on riparian land. The property was built on a riparian corridor causing repeated flooding.,"Nairobi Governor Johnson Sakaja announced in 2025 that Elite Court along Ole Dume Road in Kilimani was built on a riparian corridor and had experienced repeated flooding as a result. As part of a wider multi-agency operation to restore natural water channels and prevent loss of life and property, the county issued eviction orders. Residents and property owners faced displacement. The governor warned that planning officials who had authorized construction on riparian land could face disciplinary action. The operation was part of a broader enforcement drive targeting riparian land across the city, including in Westlands and Dagoretti. Civil society groups called for alternatives to be provided before forced evictions. The case follows the broader Nairobi River Regeneration and Engineering Works Programme announced by President Ruto at a cost of KSh 50 billion.",Eastleigh Voice; Kenyans.co.ke; Daily Nation,https://eastleighvoice.co.ke/news/343948/kilimanis-elite-court-residents-face-eviction-as-nairobi-countys-crackdown-on-riparian-land-intensifies,Online News,-1.291,36.7881,0,300+,Eviction Notice Issued,Ongoing - Legal Action Pending,"Elite Court, Kilimani, riparian, eviction, Ole Dume Road, Sakaja, flooding, Nairobi River Regeneration",Yes,0.9,Directly sourced from recent 2025 news reporting. High confidence.,,,,,,,,,,2023-04-01,2026-05-13,1138.0,0.0,False,False,300.0,True,False,True,False,True,2.8535551323744377,KEN-NBI-004
KEN-NBI-005,Nairobi,Dagoretti,Water-Land,Riparian Eviction - Alleged Land Grab,3/1/2025,12/31/2025,MP Babu Owino; Nairobi River Basin Development Authority; Westlands Residents; Dagoretti Residents; Private Interests (alleged),"MP Babu Owino alleged that a riparian eviction programme along the Nairobi River in Dagoretti and Westlands was being used as a cover for land grabbing, with residents being pushed 60 metres from the river instead of the legally required 6-10 metres.","In 2025, President Ruto launched the Nairobi River Regeneration and Engineering Works Programme valued at KSh 50 billion, requiring eviction of residents from riparian corridors. MP Babu Owino raised alarm, alleging that while the law requires displacement only 6-10 metres from riverbanks, authorities were pushing residents up to 60 metres away. He questioned the beneficiary of the extra land and called on Westlands and Dagoretti residents to resist evictions and protect their constitutional property rights. The Nairobi River flows through Dagoretti, crossing Naivasha Road between Uthiru and Kawangware, running south of Mountain View estate and Kangemi. Critics argued the evictions were unconstitutional and violated the right to housing without alternative accommodation being provided.",Kenyans.co.ke,https://www.kenyans.co.ke/news/118604-babu-owino-alleges-plan-grab-riparian-land-amid-nairobi-river-clean-exercise,Online News,-1.28,36.74,0,Unknown,Contested - Political Dispute,Unresolved - Under Public Scrutiny,"Babu Owino, land grab, riparian, Dagoretti, Westlands, Nairobi River, eviction, 60 metres, constitutional rights",Yes,0.85,Directly sourced from Kenyans.co.ke. Allegations unproven but newsworthy.,,,,,,,,,,2025-03-01,2025-12-31,305.0,0.0,False,False,,False,True,True,False,True,0.0,KEN-NBI-005
KEN-NBI-006,Nairobi,Westlands - Rhapta Road Area,Water-Land,Riparian Eviction,3/1/2025,12/31/2025,Nairobi County Government; Westlands Residents; Nairobi River Basin Authority,Residents along the Nairobi River near Westlands faced eviction as part of the 50-billion-shilling Nairobi River Regeneration Programme. The Nairobi River emerges near James Gichuru Road close to the Westlands-Rhapta area.,"The Nairobi River Regeneration Programme, launched in March 2025, targeted riparian encroachments along the entire Nairobi River course, including the stretch through Westlands near the Rhapta Road area. The river flows from its upper reaches through Dagoretti, Kangemi, and emerges near James Gichuru Road before the Westlands-Rhapta junction. Multiple residents and business owners in the area received notices. Rights groups argued the forced evictions contravened Article 43 of the Constitution guaranteeing the right to housing and that the government failed to provide adequate consultation or alternative housing options. The operation triggered widespread public debate about government accountability in urban planning.",Kenyans.co.ke; Standard Media,https://www.kenyans.co.ke/news/118604-babu-owino-alleges-plan-grab-riparian-land-amid-nairobi-river-clean-exercise,Online News,-1.2677,36.8026,0,Unknown,Eviction Notices Issued,Ongoing,"Westlands, Rhapta, Nairobi River, riparian, eviction, regeneration programme, constitutional rights",Yes,0.8,Part of 2025 Nairobi River Regeneration Programme enforcement.,,,,,,,,,,2025-03-01,2025-12-31,305.0,0.0,False,False,,False,True,True,False,True,0.0,KEN-NBI-006
KEN-NBI-007,Nairobi,Kilimani - Ring Road,Water-Land,Riparian Reserve Litigation,1/1/2018,10/11/2019,Property Developer (Ring Road Kilimani plot 65865); Municipal Services Authority for Cleaner Cities (MSACC); Nairobi City County,"Litigation over riparian reserve compliance at plot number 65865 on Ring Road Kilimani, which borders Kirichwa Kubwa River. The developer asserted it maintained a 10-metre riparian reserve, while MSACC identified encroachment.","Environmental and Land Court Petition 61 of 2018 concerned a property at plot number 65865 located along Ring Road Kilimani, bordering Kirichwa Kubwa River. The Municipal Services Authority for Cleaner Cities (MSACC) identified encroachment on the riparian reserve as a major challenge facing Nairobi City and sought to have the riparian corridor restored in compliance with Sessional Paper No. 7 of 2017 of the National Land Use Policy. The policy requires restoration and reclamation of riparian areas that have been allocated to private parties. The developer maintained it had complied with the 10-metre riparian reserve requirement. The case reflects the broader conflict between formal property rights and environmental protection mandates along Nairobi's rivers.",Kenya Law Reports,http://kenyalaw.org/caselaw/cases/view/182934,Court Record,-1.295,36.782,0,0,Litigation - ELC Petition 61/2018,Determined (2019),"Kirichwa Kubwa River, riparian reserve, Ring Road Kilimani, MSACC, environmental compliance, 10 metre buffer",Yes,0.92,Court record directly sourced from Kenya Law database. High confidence.,,,,,,,,,,2018-01-01,2019-10-11,648.0,0.0,False,False,0.0,False,False,True,False,True,0.0,KEN-NBI-007
KEN-NBI-008,Nairobi,Kwanduma Village - Nairobi Dam Area,Water-Land,Forced Eviction from Riparian Land,5/1/2024,5/31/2024,Kwanduma Village Residents; Government of Kenya; Human Rights Groups; Civil Society Organizations,Residents at Kwanduma village at the edge of Nairobi Dam were forcibly evicted following government directives in the wake of April 2024 floods. Civil society groups condemned the evictions as unconstitutional.,"Following deadly floods in late April 2024 that killed dozens across Nairobi, the government ordered evictions of all residents on riparian and flood-prone land. At Kwanduma village near Nairobi Dam, residents were forcibly removed with minimal notice. A woman was photographed in May 2024 amid the remains of her demolished home. Civil society and human rights groups argued the forced evictions contravened the Constitution and constituted gross violations of fundamental human rights, particularly given that residents received no alternative accommodation. The Standard Media reported on the story on May 7, 2024. The National Lands Commissioner Mumo Musuva acknowledged public ignorance about the role of riparian encroachment in flooding but also admitted that much of the land had been illegally allocated by politicians.",The Standard Media,https://www.standardmedia.co.ke/nairobi/article/2001494577/residents-living-on-riparian-land-cry-foul-over-forceful-eviction,Print/Online News,-1.312,36.818,0,200+,Post-Flood Emergency Eviction,Enforced - Partially Completed,"Kwanduma, Nairobi Dam, eviction, floods 2024, riparian, human rights, civil society",Yes,0.9,Directly sourced from Standard Media May 7 2024 article. High confidence.,,,,,,,,,,2024-05-01,2024-05-31,30.0,0.0,False,False,200.0,True,False,False,False,False,2.651652454029538,KEN-NBI-008
KEN-NBI-009,Nairobi,Citywide (Lavington; Mukuru; Kangemi; Mathare),Water-Land,Riparian Encroachment - Multi-Site,5/1/2016,5/31/2016,Nairobi County Government; National Lands Commission; Ministry of Land; 2000+ Plot Owners,"Nairobi County Government announced that 2,000 plots across the city lie on riparian lands. The NLC tasked with managing public land was cited as having failed to prevent the allocations. City wrote to Ministry of Land to revoke title deeds.","In May 2016, the Nairobi County Government formally announced there were approximately 2,000 plots of land held by developers that lay on riparian lands across the city. The County stated it had written to the Ministry of Land to revoke the title deeds for those pieces of land, to pave the way for their reclamation, restoration as riparian reserves, and the demolition of any buildings erected on them. The CEO of the National Lands Commission (NLC) Tom Chavangi was cited in the Daily Nation as the authority tasked with managing public land. This announcement represented the first comprehensive official acknowledgment of the scale of riparian encroachment in Nairobi. The affected areas span the city from Lavington to Mukuru, with rivers choked by buildings set up on river banks, wetlands, and even directly over rivers.",Daily Nation / Healthy Nation,https://nation.africa/kenya/healthy-nation/nairobi-residents-paying-price-for-land-grabbed-from-raging-rivers-38790,Print/Online News,-1.2864,36.8172,0,Unknown,Administrative - Title Revocation Requested,Partially Enforced,"2000 plots, Nairobi, riparian, title deeds, Ministry of Land, NLC, encroachment, citywide",Yes,0.88,Comprehensive citywide announcement. Source directly referenced in Daily Nation 2016 investigation.,,,,,,,,,,2016-05-01,2016-05-31,30.0,0.0,False,False,,False,True,False,False,False,0.0,KEN-NBI-009
KEN-NBI-010,Nairobi,Mathare,Water-Land,Riparian Encroachment - Informal Settlement,1/1/2004,12/31/2024,Mathare Slum Residents; Nairobi City County; Ministry of Environment; Kenya Red Cross,"Mathare informal settlement has long been built along and over the Mathare River, causing chronic flooding and land-water conflicts. Residents face periodic floods, displacement, and tension over evictions.","The Mathare informal settlement in Nairobi is one of the most severely flood-affected areas in the city, with thousands of structures built directly on the Mathare River's banks and floodplain. Since at least 2004, seasonal flooding has killed and displaced residents. The interplay between poverty, lack of land tenure, and government inaction created a persistent land-water conflict. Periodic government enforcement drives to clear riparian zones have been met with community resistance, citing lack of alternative housing. The Mathare River, which flows through the heart of the settlement, has been blocked, diverted, and built over, exacerbating flood risk downstream. The conflict involves deep social inequality dimensions, as the urban poor are displaced while wealthy developments on riparian land in other parts of the city face less enforcement.",Multiple - Kenya Red Cross; Standard Media; Nation Media Group; Human Rights Watch,https://standardmedia.co.ke,NGO Reports; Print/Online News,-1.26,36.862,20+,3000+,Enforcement Notices Issued Periodically,Chronic - Partially Enforced,"Mathare, informal settlement, flooding, displacement, Mathare River, eviction, riparian, urban poor",Yes,0.75,Composite entry for long-term documented situation. Cross-referenced multiple sources.,,,,,,,,,,2004-01-01,2024-12-31,7670.0,20.0,True,False,3000.0,True,False,True,True,True,7.047872860443606,KEN-NBI-010
