Month,conflict_onset_total,conflict_onset_mean,conflict_onset_std
1,221,0.24021739130434783,0.427447769651348
2,42,0.04772727272727273,0.21330983555563462
3,40,0.045454545454545456,0.20841734783377286
4,53,0.060227272727272727,0.23804272650546449
5,52,0.05909090909090909,0.23592885858006116
6,31,0.035227272727272725,0.18445860437983078
7,29,0.03295454545454545,0.17861914466724702
8,27,0.03068181818181818,0.17255224896361537
9,27,0.03068181818181818,0.17255224896361532
10,27,0.03068181818181818,0.17255224896361535
11,29,0.03295454545454545,0.17861914466724715
12,6,0.006818181818181818,0.08233710024239627
