Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
44,water_documented_land_river_county,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",41,local_commercial_private_water_downstream,43,documented_water_land_river_nairobi,1.4656094977142098
43,documented_water_land_river_nairobi,"[0, 1, 2, 4, 5, 6, 9, 11, 12, 14, 16, 18, 19, 20, 21, 22]",39,land_nairobi_documented_2024_river,42,water_turkana_documented_conflict_county,1.3484457992172536
42,water_turkana_documented_conflict_county,"[2, 5, 6, 9, 11, 14, 19, 22]",38,water_river_kiambu_documented_county,32,turkana_conflict_documented_water_communities,1.079514878090039
41,local_commercial_private_water_downstream,"[3, 7, 8, 10, 13, 15, 17]",40,local_water_commercial_downstream_sand,33,private_land_public_local_commercial,0.9260910436610548
40,local_water_commercial_downstream_sand,"[7, 10, 13, 17]",17,chemical_effluent_untreated_processing_toxic,35,local_water_commercial_sand_private,0.8816784905841173
39,land_nairobi_documented_2024_river,"[0, 1, 4, 12, 16, 18, 20, 21]",37,nairobi_2024_riparian_documented_river,36,land_court_elc_mavoko_case,0.8631676664696728
38,water_river_kiambu_documented_county,"[5, 6, 14, 22]",22,swamp_2023_manguo_kiambu_ondiri,31,water_river_kiambu_athi_documented,0.8130632407121042
37,nairobi_2024_riparian_documented_river,"[1, 4, 12, 18, 20]",18,2018_demolition_mall_demolished_buildings,34,nairobi_2024_riparian_documented_river,0.7815428360944583
36,land_court_elc_mavoko_case,"[0, 16, 21]",28,land_court_elc_mavoko_2025,21,drainage_nema_forest_nairobi_flooding,0.7684631431816563
35,local_water_commercial_sand_private,"[7, 10, 13]",27,water_commercial_local_sand_downstream,10,local_fences_traditional_livestock_communal,0.7677035012516565
34,nairobi_2024_riparian_documented_river,"[1, 4, 12, 20]",26,nairobi_2024_mathare_documented_river,20,kirichwa_kirichwa kubwa_kubwa_riparian_state house,0.7665729012264092
33,private_land_public_local_commercial,"[3, 8, 15]",3,cooperative_land_registry_landbuying_buyers,30,private_public_heavy_developers_commercial,0.7501758713407681
32,turkana_conflict_documented_water_communities,"[2, 9, 11, 19]",29,turkana_conflict_documented_water_pokot,11,lake_turkana_lake turkana_fishing_omo,0.7260355748955473
31,water_river_kiambu_athi_documented,"[5, 6, 14]",24,water_kiambu_county_dam_thika,5,river_athi_athi river_industrial_pollution,0.694361032503652
30,private_public_heavy_developers_commercial,"[8, 15]",15,private_public_developers_title_local,8,heavy_wetland_buffer_directly_natural,0.6896744821852544
29,turkana_conflict_documented_water_pokot,"[2, 9, 19]",9,oil_turkana_community_lokichar_land,25,turkana_conflict_documented_water_pokot,0.6756083212340458
28,land_court_elc_mavoko_2025,"[0, 16]",0,land_mavoko_elc_court_machakos,16,parklands_road_2025_nairobi_court,0.6669299584676707
27,water_commercial_local_sand_downstream,"[7, 13]",7,water_downstream_commercial_private_canal,13,sand_local_commercial_water_extraction,0.6582751120557047
26,nairobi_2024_mathare_documented_river,"[1, 4, 12]",23,2024_mathare_documented_nairobi_residents,12,nairobi_riparian_river_nairobi river_2025,0.6023142782030185
25,turkana_conflict_documented_water_pokot,"[2, 19]",19,water_turkana_access_drought_turkana county,2,turkana_conflict_pokot_documented_2023,0.59593013175767
24,water_kiambu_county_dam_thika,"[6, 14]",14,water_machakos_dam_farmers_irrigation,6,water_kiambu_kiambu county_company_county,0.5502646719479838
23,2024_mathare_documented_nairobi_residents,"[1, 4]",4,mukuru_residents_evictions_eviction_documented,1,mathare_2024_floods_flood_nairobi,0.5232920047985252
